"","Codigo","Sexo","Escuela","Grado","Grupo","EscuelaGradoGrupo","Calificacin","Tareas","LentoXRastreador","Conteo1P","Conteo2P","Conteo3P","ConteoT","Target","Validacin","NumEntrenamientos","ConteoCorrecto","ConteocorrectoyTarget","ConteoCorrecto1213","ConteocorrectoyTarget1213","Niveldeactividad","SonrisayRisa","Placeraltaintensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracin","Autotranquilizacion","controlInhibitorio","Placerbajaintensidad","Sensibilidadperceptual","Atencionfoc","distractibilidad","conjuntoatencion","ControlEsforzadocondistractibilidad","AfectoNegativo","ExtraversinSurgency","CESindistractibilidad","Alerta","Orientacion","Conflicto","CEAltosBajos","ANAltosBajos","SurgencyAltosBajos","CESindistracAltosBajos","CEsuperaltosbajos","ANsuperaltosbajos","Sugencysuperaltosbajos","CEsindistracsuperaltosbajos","AlertaAltosBajos","OrientacionAltosBajos","ConflictoAltosNajos","Perfiles","PerfilessinDistractibilidad","NiveldeactividadALTOSBAJOS","SonrisayRisaALTOSBAJOS","PlaceraltaintensidadALTOSBAJOS","ImpulsividadALTOSBAJOS","AproxALTOSBAJOS","TimidezALTOSBAJOS","MiedoALTOSBAJOS","MalestarALTOSBAJOS","TristezaALTOSBAJOS","FrustracinALTOSBAJOS","AutotranquilizacionALTOSBAJOS","controlInhibitorioALTOSBAJOS","PlacerbajaintensidadALTOSBAJOS","SensibilidadperceptualALTOSBAJOS","AtencionfocALTOSBAJOS","distractibilidadALTOSBAJOS","conjuntoatencionALTOSBAJOS","ANT_percentcorrect"
"1",1,"1",1,1,1,"1.1A",6.1,"COMPLETO","",10,NA,NA,11,1,NA,1,1,1,0,0,3.92,4.23,4.69,4.08,4.46,3.92,4.4,3.4,4.5,4.46,4.15,3.33,4,4.09,4.44,4.4,4.43,4.053737374,4.183076923,4.216880342,3.967171717,26.5,-30.5,29.5,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,75.69
"2",2,"0",1,1,1,"1.1A",7.1,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.42,5.83,4.92,5.58,1.92,2.92,2.91,3.92,4.23,5,5.42,6.08,6.09,4.67,4.5,4.62,5.351515152,3.794638695,4.777777778,5.564393939,NA,NA,NA,1,0,1,1,1,0,NA,1,NA,NA,NA,2,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,NA
"3",3,"0",1,1,1,"1.1A",9.3,"COMPLETO","",6,7,NA,10,1,NA,2,0,0,0,0,4.08,4.23,4.46,4.77,5.38,4.08,5,4.67,5,4.69,4.77,4,4.46,5,4.33,4.2,4.29,4.398974359,4.825641026,4.5,4.448717949,-289,39,39,0,1,0,0,0,1,NA,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,17.36
"4",4,"0",1,1,1,"1.1A",8.7,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77,4.77,3.85,4.23,5.58,3.77,3.67,3.45,4.18,4.92,5.23,4.23,5.15,4.5,3.56,4.25,3.77,4.338034188,4.291375291,4.49465812,4.360042735,NA,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,NA
"5",5,"0",1,1,1,"1.1A",9.3,"COMPLETO","",10,NA,NA,13,1,NA,1,1,1,1,1,5.46,5.85,5.69,5.23,6.15,2.54,4.17,3.67,4,4.69,4.85,3.77,5.31,5,4,4.2,4.07,4.455384615,4.274358974,5.153846154,4.519230769,102,-49.5,-11,0,0,1,0,NA,NA,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,79.17
"6",6,"1",1,1,1,"1.1A",6.7,"COMPLETO","",9,NA,NA,12,0,1,1,1,0,1,0,4.58,4.18,5,4.09,5.08,3.67,2.89,4.11,4.45,4.6,3.54,4.42,4.8,4,3.22,4.4,3.64,4.167777778,3.918601399,4.434343434,4.109722222,186,29,97,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,84.03
"7",7,"1",1,1,1,"1.1A",7.7,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08,4.46,3.92,4.31,5.08,2.38,3.67,4,3.83,3.62,4.5,4.77,5.15,5.08,4,4.4,4.14,4.681282051,3.923076923,4.038461538,4.751602564,NA,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,NA
"8",8,"1",1,1,1,"1.1A",6.6,"COMPLETO","",10,NA,NA,8,1,NA,1,0,0,0,0,5.15,4.69,4.77,4.85,5,3.38,4.58,4.58,4.67,4.46,4.46,4.31,5.23,4.5,4,3.4,3.79,4.287692308,4.551282051,4.641025641,4.509615385,67,52.5,19,0,1,1,0,0,1,NA,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,70.14
"9",9,"0",1,1,1,"1.1A",7.8,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92,4,4,3.62,4.15,4.08,3.08,4.08,3.5,3.38,3.33,3.77,4.31,3.58,3.89,4.2,4,3.94982906,3.476923077,3.794871795,3.887286325,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
"10",10,"1",1,1,1,"1.1A",7,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.54,5.38,5.77,5.85,5.77,2.62,3.83,3.5,3.91,5.46,3.85,3.46,5.54,5.5,2.78,2.8,2.79,4.015555556,4.11002331,5.153846154,4.319444444,NA,NA,NA,0,0,1,0,0,0,1,0,NA,NA,NA,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,NA
"11",11,"1",1,1,1,"1.1A",8.4,"COMPLETO","",7,NA,NA,12,1,NA,1,1,1,1,1,4.08,6,3.31,3.92,5.46,3.54,3.58,3.17,4,4.08,5.15,5.62,5.69,5.5,4.78,4,4.5,5.117094017,3.996153846,4.384615385,5.396367521,123,154,155,1,0,0,1,1,0,0,1,1,1,1,2,2,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,82.64
"12",12,"0",1,1,1,"1.1A",9.7,"COMPLETO","",6,9,NA,12,1,NA,2,1,1,1,1,4.92,6.15,5.54,4.62,6,3.67,3.92,3.75,4.5,4.15,5.15,4.54,5.92,5.75,4.11,3.4,3.86,4.744529915,4.294871795,5.14957265,5.080662393,83.5,172,36.5,1,0,1,1,NA,NA,1,1,1,1,0,2,2,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,95.14
"13",13,"0",1,1,1,"1.1A",9.7,"COMPLETO","",3,3,3,7,0,1,3,0,0,0,0,4.69,4.92,5.46,4.62,5.15,3.38,4.25,4.67,4.67,4.23,4.38,3.92,5.15,4.92,3.89,4,3.93,4.376495726,4.43974359,4.705128205,4.470619658,97,70,62,0,1,1,0,0,NA,NA,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,91.67
"14",14,"1",1,1,1,"1.1A",7.8,"COMPLETO","PASî DOS VECES ?",3,5,6,11,1,NA,3,1,1,0,0,4.15,4.08,4.62,4.54,4.77,3.62,3.67,4,4.92,4.08,4.15,4.15,4.69,4.08,4.33,4,4.21,4.252564103,4.162820513,4.295940171,4.315705128,130.5,113,402.5,0,0,0,0,0,NA,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,56.25
"15",16,"0",1,1,1,"1.1A",6.6,"COMPLETO","",3,9,NA,14,1,NA,2,1,1,0,0,5.5,5.69,4.69,4.09,5.38,3.46,4.4,3.5,3.91,2.91,4.67,4.25,5.77,5.64,3.67,4,3.77,4.664452214,3.876969697,4.803613054,4.830565268,616,68,399,0,0,1,1,NA,0,1,NA,1,1,1,0,2,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,23.61
"16",17,"0",1,1,1,"1.1A",8.8,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,4.62,4.31,3,5.69,3.69,4.33,4.17,5.75,3.31,4.08,4.77,4.85,4.33,4.22,3.4,3.93,4.314188034,4.326923077,4.320512821,4.542735043,NA,NA,NA,0,1,0,0,0,NA,0,0,NA,NA,NA,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,NA
"17",18,"1",1,1,1,"1.1A",8.7,"COMPLETO","",3,8,NA,12,1,NA,2,1,1,1,1,5.85,5.08,4.62,5.31,6.08,2.15,4.45,4.92,3.83,3.15,5.38,4.62,5,5.08,3.78,3.2,3.57,4.335299145,4.348601399,4.846153846,4.619123932,46,36.5,130.5,0,1,1,0,0,NA,1,NA,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,82.64
"18",19,"0",1,1,1,"1.1A",9.2,"COMPLETO","",3,9,NA,12,0,1,2,1,0,1,0,4.77,5.46,4.69,4.38,6.15,4.62,4.27,4.58,5.17,5.08,4.25,4.54,4.62,5.82,4.44,3.4,4.07,4.563294483,4.66993007,5.012820513,4.854118104,190.5,102,223.5,0,1,1,1,NA,1,1,NA,1,1,1,1,3,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,60.42
"19",20,"1",1,1,1,"1.1A",9.4,"COMPLETO","",8,NA,NA,12,0,1,1,1,0,1,0,4.69,4.43,4.73,4.22,6.18,2,4.45,3.91,3.7,3.38,6.17,5.29,6.1,5.4,4.78,5.8,5.14,5.472698413,4.322983683,4.375365375,5.390873016,55,58,-11,1,1,0,1,1,NA,0,1,0,1,0,3,3,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,95.83
"20",22,"0",1,1,1,"1.1A",8.1,"COMPLETO","",7,NA,NA,13,0,1,1,1,0,1,0,4.92,5.38,4.92,3.92,5.85,3.23,5.17,4.5,4.58,4.38,5.25,4.85,5.69,5.5,3.78,3.6,3.71,4.683247863,4.776923077,4.705128205,4.954059829,-24,-89,-25,0,1,1,1,NA,1,NA,NA,0,0,0,1,3,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,47.92
"21",23,"1",1,1,1,"1.1A",8.5,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38,5.31,5.5,5.23,4.31,3.15,3.83,4.33,5.58,4.38,4.92,5.54,4.31,5.25,5.78,4.8,5.43,5.134786325,4.611538462,4.647435897,5.218482906,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,3,3,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,NA
"22",24,"0",1,1,1,"1.1A",10,"Falta ANT","",7,NA,NA,12,1,NA,1,1,1,1,1,5.27,5.46,3.92,4.31,5.31,2.69,4.33,3.17,3.58,3.08,4.69,5.54,5.23,5.33,5.33,4.6,5.07,5.207179487,3.770512821,4.494172494,5.358974359,NA,NA,NA,1,0,0,1,1,0,NA,1,NA,NA,NA,2,2,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,NA
"23",26,"1",1,1,1,"1.1A",9.1,"COMPLETO","",12,9,NA,13,0,1,2,1,0,1,0,4.85,5.08,4.85,4.92,4.77,3.31,3.75,4,4.58,3.77,4.23,4.08,4.85,4.42,5,4,4.64,4.467948718,4.066666667,4.628205128,4.584935897,266.5,9,303,0,0,1,0,NA,0,NA,NA,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,84.72
"24",27,"0",1,1,1,"1.1A",9.8,"COMPLETO","",7,8,NA,12,1,NA,2,1,1,1,1,4.15,4.38,4.46,2.85,5.69,5.38,5.67,4.58,3.92,3.77,4.92,5.15,4.92,5.33,4,4.6,4.21,4.802051282,4.571794872,4.487179487,4.852564103,117.5,100.5,-91.5,1,1,0,1,NA,1,NA,NA,1,1,0,3,3,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,50.69
"25",28,"1",1,1,1,"1.1A",9.3,"COMPLETO","",3,6,8,12,0,1,3,1,0,1,0,4.23,4.54,4.69,3.85,5.23,4.46,4.5,3.92,4,3.38,5.08,5.46,5.54,4.42,5,4.8,4.93,5.043333333,4.175641026,4.5,5.104166667,4,32.5,68,1,0,0,1,1,NA,NA,1,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,72.22
"26",29,"1",1,1,1,"1.1A",8,"COMPLETO","",7,NA,NA,12,0,1,1,1,0,1,0,3.15,5.33,5.69,5,5.54,1.77,4.42,4.42,3.75,4.23,4.92,5.08,5.31,5.5,4.33,3.8,4.14,4.803589744,4.347435897,4.414529915,5.054487179,145,2.5,132,1,1,0,1,NA,NA,0,1,1,0,1,3,3,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,86.81
"27",31,"1",1,1,1,"1.1A",8.9,"Falta Gorila","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.92,4.77,5.23,4.77,4.46,3.46,4.17,4.08,4.08,3.83,4.85,3.54,4.08,4.17,4,4,4,3.956410256,4.202564103,4.602564103,3.945512821,33.5,50,168,0,0,1,0,0,NA,NA,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,82.64
"28",32,"1",1,1,1,"1.1A",9,"COMPLETO","",5,8,NA,12,1,NA,2,1,1,1,1,4.46,5,5.33,4.38,5.27,2.85,4.17,2.92,3.08,3.31,5.08,5.17,5.38,3.67,4.67,4.8,4.71,4.736923077,3.71025641,4.54972805,4.721153846,34,89.5,9.5,1,0,0,0,NA,0,NA,NA,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,90.28
"29",33,"0",1,1,1,"1.1A",9.8,"COMPLETO","",14,9,NA,12,1,NA,2,1,1,1,1,5.08,4.62,5.54,4.77,5.38,3.77,3.64,3.9,4.36,4.38,4.36,4.58,5.09,4.78,4.22,3.6,4,4.454848485,4.12965035,4.858974359,4.668560606,4,41,142.5,0,0,1,0,0,NA,1,NA,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,75
"30",34,"0",1,1,1,"1.1A",9.1,"COMPLETO","",9,NA,NA,11,1,NA,1,1,1,0,0,4.62,4.85,4.62,4.08,4.62,2.54,4.58,4,4.42,3.38,4.77,5.15,5.08,5.17,4.75,4.6,4.69,4.949487179,4.230769231,4.217948718,5.036858974,33.5,10.5,64,1,0,0,1,NA,NA,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,70.83
"31",35,"0",1,1,1,"1.1A",8.3,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77,4.46,4.38,4.31,3.92,3.92,4.58,3.42,3.5,2.31,5.54,5.69,4.92,4.83,4.67,4.6,4.64,4.943076923,3.869230769,4.294871795,5.028846154,NA,NA,NA,1,0,0,1,NA,0,0,NA,NA,NA,NA,2,2,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,NA
"32",36,"1",1,1,1,"1.1A",7.6,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.69,4.92,6.15,4.27,4.62,3.08,3.33,5,5.08,3.75,4.54,4.82,5.3,4.92,3.44,5.6,4.21,4.815858586,4.341025641,4.789044289,4.619823232,NA,NA,NA,1,1,1,0,NA,NA,1,NA,NA,NA,NA,3,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,NA
"33",37,"1",1,1,1,"1.1A",7.8,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85,4.62,5.54,4.46,5.31,2.92,4.18,3.92,3.58,3.62,4.25,3.92,4.46,4.64,3.67,3.8,3.71,4.097529138,3.909440559,4.782051282,4.171911422,NA,NA,NA,0,0,1,0,0,0,NA,0,NA,NA,NA,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"34",38,"0",1,1,1,"1.1A",8.9,"COMPLETO","",10,NA,NA,12,1,NA,1,1,1,1,1,5.17,5.54,5.08,4.54,4.92,3.62,3.82,3.5,3.67,4.54,4.08,4.69,5.85,4.58,4.67,3.6,4.29,4.677692308,3.921328671,4.80982906,4.947115385,121,-14.5,66.5,0,0,1,1,NA,0,1,NA,1,0,0,0,2,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,77.08
"35",39,"1",1,1,1,"1.1A",8.2,"COMPLETO","",4,8,NA,14,1,NA,2,1,1,0,0,5.15,4.54,5.46,4.77,5.38,2.77,3.33,4.42,4,4.92,4.23,3.92,4.46,4.75,2.89,3.4,3.07,3.884700855,4.180769231,4.679487179,4.005876068,-216,69.5,10,0,0,1,0,0,NA,NA,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,68.06
"36",41,"1",1,1,2,"1.1B",8.3,"COMPLETO","",20,8,NA,15,1,NA,2,0,0,0,0,4.38,4.77,4.54,5.15,5.46,3.54,3.33,4.33,4.92,4.23,3.77,4,5.15,4.08,4,4,4,4.247435897,4.116666667,4.641025641,4.309294872,155.5,-67,151,0,0,1,0,0,0,NA,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,33.33
"37",42,"1",1,1,2,"1.1B",8.8,"COMPLETO","",6,7,NA,12,0,1,2,1,0,1,0,4.58,4.38,5.69,5,4.62,3,4.83,3.42,5.17,5.08,5.23,4.46,5.23,4.75,5,4.4,4.79,4.768461538,4.746153846,4.545940171,4.860576923,-284.5,110.5,293,1,1,0,1,NA,1,NA,NA,0,1,1,3,3,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,30.56
"38",44,"0",1,1,2,"1.1B",9.4,"COMPLETO","",5,8,NA,12,0,1,2,1,0,1,0,4.54,4.92,5.23,3.62,5.38,3.46,4.25,3.55,2.92,3.46,5.31,5.15,5.33,4.75,3.89,4.2,4,4.665213675,3.896270396,4.525641026,4.781517094,191.5,234,229.5,0,0,0,0,NA,0,NA,NA,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,49.31
"39",46,"1",1,1,2,"1.1B",9,"COMPLETO","",4,6,7,11,0,1,3,1,0,0,0,5.62,4.62,6.31,5,5.77,3.23,5.27,4.5,5.08,4.62,4.08,5,5.69,5,4.22,3,3.79,4.582905983,4.70967366,5.08974359,4.978632479,130,50,217,0,1,1,1,NA,1,1,NA,1,1,1,1,3,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,93.75
"40",47,"1",1,1,2,"1.1B",8.8,"COMPLETO","",7,NA,NA,6,1,NA,1,0,0,0,0,2.69,4.92,3.31,3.38,5.15,6.08,5.17,2.75,3.25,2.85,6.38,6.38,5.85,5.25,4.89,4.4,4.71,5.353931624,4.079487179,4.256410256,5.59241453,89,-170.5,-8,1,0,0,1,1,0,0,1,1,0,0,2,2,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,84.72
"41",48,"0",1,1,2,"1.1B",8.1,"COMPLETO","",3,5,6,11,0,1,3,1,0,0,0,4.33,4.69,4.15,4.54,5.92,4.92,4.92,5.25,4.17,4.92,4.15,4.38,4.46,4.17,3.78,3.8,3.79,4.118119658,4.682051282,4.759615385,4.197649573,155,69,112,0,1,1,0,0,1,NA,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,95.83
"42",49,"0",1,1,2,"1.1B",9.7,"COMPLETO","",7,NA,NA,13,0,1,1,1,0,1,0,3.08,4.62,4.85,3,5.38,5.85,4.92,4.17,4.83,4.46,4,5.54,5.38,4.92,5.56,5.6,5.57,5.399059829,4.475641026,4.461538462,5.348824786,-25,17,-18,1,1,0,1,1,NA,NA,1,0,0,0,3,3,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,22.22
"43",50,"1",1,1,2,"1.1B",9.1,"COMPLETO","Pr‡ctica 6 veces",5,9,NA,12,1,NA,2,1,1,1,1,4.31,4.46,3.69,3.62,5.69,4.23,5.42,3.5,3.58,3.15,5.69,5.23,5.23,5.08,4.44,4,4.29,4.797863248,4.269230769,4.333333333,4.99732906,47.5,57,338,1,0,0,1,NA,NA,0,NA,0,1,1,2,2,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,90.28
"44",52,"0",1,1,2,"1.1B",9.2,"COMPLETO","",5,8,NA,11,0,1,2,1,0,0,0,4.62,4.77,4.85,4.77,5.38,4.46,5.67,4.92,5,5.31,3.46,4.08,5.15,5.08,4.89,4.2,4.64,4.680598291,4.870512821,4.807692308,4.800747863,-27,36,24.5,0,1,1,0,NA,1,1,NA,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,76.39
"45",53,"1",1,1,2,"1.1B",8.1,"COMPLETO","",1,9,NA,12,1,NA,2,1,1,1,1,4.54,3.77,5.42,4.08,4.62,4,4.5,5.08,4.5,4.77,3.85,3.46,4.46,4.67,3.56,3.6,3.57,3.949059829,4.53974359,4.402777778,4.036324786,-25,156.5,28,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,63.19
"46",54,"1",1,1,2,"1.1B",8.3,"Falta Gorila","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.27,5.5,5.82,5.45,2.42,4.91,3.4,3.73,4.91,4.8,3.55,3.91,5,2.75,4.8,3.54,4.000909091,4.349090909,4.993686869,3.801136364,26,57,61,0,1,1,0,0,NA,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,77.08
"47",55,"0",1,1,2,"1.1B",8.5,"COMPLETO","",9,NA,NA,14,1,NA,1,1,1,0,0,4.75,4.38,4.92,3.92,5.08,4.92,4.91,3.73,4.25,4.38,4.77,4.33,4.31,5.33,4.56,3,4,4.305982906,4.408041958,4.664529915,4.632478632,-161,2,100,0,1,1,0,0,NA,NA,NA,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,52.08
"48",56,"1",1,1,2,"1.1B",9.2,"COMPLETO","",5,7,NA,11,1,NA,2,1,1,0,0,3.67,4.17,4.38,4.77,5.31,3.08,4.18,3.36,4.73,4.15,5.23,5.15,5.77,5.83,4.67,3.8,4.36,5.044615385,4.331468531,4.228632479,5.355769231,-14.5,154.5,143,1,1,0,1,1,NA,0,1,0,1,1,3,3,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,76.39
"49",57,"1",1,1,2,"1.1B",8,"Falta Gorila","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.38,4.38,4.62,5.85,4.31,5.67,4.83,4.17,4.67,4.38,4.54,5.31,5.08,3.67,3.4,3.57,4.399230769,4.743589744,4.923076923,4.649038462,272.5,99.5,-99.5,0,1,1,0,0,1,1,NA,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,43.06
